Nr.,Datum,Anmelder,Ort
1,2012-09-12,MLPD,St. Johanner Markt
2,2013-01-05,Tierschützer,Bahnhofstraße 28
3,2013-01-05,Tierschützer,Festplatz Burbach
4,2013-01-16,GEW,Landtag
5,2013-01-26,BI Dudweiler,Gustav-Regler-Platz
6,2013-01-28,NGG,Europa Galerie
7,2013-02-20,Kurdische Gemeinde,Ludwigsplatz
8,2013-02-27,Kurdische Gemeinde,Ludwigsplatz
9,2013-03-06,Kurdische Gemeinde,Ludwigsplatz
10,2013-03-09,Freibad Dudweiler,Freibad Dudweiler
11,2013-03-11,Greenpeace,Bahnhofstraße 52-54
12,2013-03-13,Kurdische Gemeinde,Ludwigsplatz
13,2013-03-16,Alsbachbad,Alsbachbad
14,2013-03-18,EVG,Bahnhofsvorplatz
15,2013-03-20,Kurdische Gemeinde,Ludwigsplatz
16,2013-03-20,Uwe Hein,Landtag
17,2013-03-27,Kurdische Gemeinde,Ludwigsplatz
18,2013-03-28,Kirchenaustritt,Gustav-Regler-Platz
19,2013-03-31,Kurdische Gemeinde,Ludwigsplatz
20,2013-04-03,Kurdische Gemeinde,Ludwigsplatz
21,2013-04-05,UmFairTeilen,Bahnhofstraße Karstadt
22,2013-04-10,Kurdische Gemeinde,Ludwigsplatz
23,2013-04-13,UmFairTeilen,Europa Galerie
24,2013-04-17,Kurdische Gemeinde,Ludwigsplatz
25,2013-04-17,Ver.di Post Streik,Wendehammer Untertürkheimer Straße
26,2013-04-22,IG Metall,Congresshalle
27,2013-04-24,Kurdische Gemeinde,Ludwigsplatz
28,2013-05-01,Kurdische Gemeinde,Ludwigsplatz
29,2013-05-03,IG Metall,ZF Werkstor Südring
30,2013-05-06,PETA,Bahnhofstraße
31,2013-05-07,IG Metall,Neue Halberg Kirchstr.
32,2013-05-08,Kurdische Gemeinde,Ludwigsplatz
33,2013-05-15,Kurdische Gemeinde,Ludwigsplatz
34,2013-05-22,Kurdische Gemeinde,Ludwigsplatz
35,2013-05-22,ver.di Mahnwache,Rathausvorplatz
36,2013-05-28,PETA,Bahnhofstraße
37,2013-05-29,Kurdische Gemeinde,Ludwigsplatz
38,2013-06-04,Alevitischer kulturverein,Europagalerie
39,2013-06-05,Kurdische Gemeinde,Ludwigsplatz
40,2013-06-12,Kurdische Gemeinde,Ludwigsplatz
41,2013-06-13,ver.di saar,Bahnhofstraße
42,2013-06-14,Albert Schweitzer Stiftung,Europagalerie
43,2013-06-15,Albert Schweitzer Stiftung,Europagalerie
44,2013-06-18,Alevitischer Kulturverein,Europagalerie
45,2013-06-19,Kurdische Gemeinde,Ludwigsplatz
46,2013-06-23,Witas,DFG
47,2013-06-26,DFeuG ,Landtag
48,2013-06-26,Kurdische Gemeinde,Ludwigsplatz
49,2013-06-26,ver.di saar,Landtag
50,2013-06-27,Kurdische Gemeinde,Ludwigsplatz
51,2013-06-28,Pro Dudweiler Bürgerinitiative,Dudweiler
52,2013-07-03,Kurdische Gemeinde,Ludwigsplatz
53,2013-07-06,ver.di saar,Bahnhofsvorplatz
54,2013-07-10,IGFM,Europagalerie
55,2013-07-10,Kurdische Gemeinde,Ludwigsplatz
56,2013-07-17,Kurdische Gemeinde,Ludwigsplatz
57,2013-07-24,Kurdische Gemeinde,Ludwigsplatz
58,2013-07-29,Christian Hehl/Sascha Wagner,Johannisstr. 2
59,2013-07-30,ver.di saar,Trierer Straße
60,2013-08-03,Hupperich,Gustav-Regler-Platz
61,2013-08-07,Kurdische Gemeinde,Ludwigsplatz
62,2013-08-09,Kurdische Gemeinde,Europagalerie
63,2013-08-14,Kurdische Gemeinde,Ludwigsplatz
64,2013-08-16,Mehr Demokratie e.V.,Gustav-Regler-Platz
65,2013-08-21,Kurdische Gemeinde,Ludwigsplatz
66,2013-08-24,MLPD,Lebacher Straße
67,2013-08-24,MLPD,Burbacher Markt
68,2013-08-28,Kurdische Gemeinde,Ludwigsplatz
69,2013-08-30,Friedensnetz Saar,St. Johanner Markt
70,2013-08-31,MLPD,Lebacher Straße
71,2013-08-31,MLPD,Burbacher Markt
72,2013-09-04,Dennis Kundrus,Gustav-Regler-Platz
73,2013-09-04,Kurdische Gemeinde,Ludwigsplatz
74,2013-09-04,pro Deutschland,Max-Ophüls-Platz
75,2013-09-07,MLPD,Lebacher Straße
76,2013-09-07,MLPD,Burbacher Markt
77,2013-09-10,CDU,Congresshalle
78,2013-09-11,Kurdische Gemeinde,Ludwigsplatz
79,2013-09-18,Kurdische Gemeinde,Ludwigsplatz
80,2013-09-18,MLPD,Bahnhofstraße
81,2013-09-20,Die Linke,Gustav-Regler-Platz
82,2013-09-21,MLPD,Lebacher Straße
83,2013-09-21,MLPD,Burbacher Markt
84,2013-09-25,Kurdische Gemeinde,Ludwigsplatz
85,2013-10-04,Albert Schweitzer Stiftung,Europagalerie
86,2013-10-05,Manuel Reinoss,Europagalerie
87,2013-11-16,MLPD,Gustav-Regler-Platz
88,2013-11-16,Zenz Gallmann,Europagalerie
89,2013-12-13,Kurdische Gemeinde,Gustav-Regler-Platz
90,2013-12-14,Heide Schneider,Europagalerie
91,2013-12-20,Bour,Käthe Kollwitz Straße
92,2013-12-20,Tierschützer,Käthe Kollwitz Straße
